Rl,DCI,DCV,ACV
510,50.07,24.43,3.8
1k,30.55,29.28,2.3
2k,16.4,32.03,1.25
5.1k,0.702,34.75,0.52
,,,
510,25.77,12.85,0.15
1k,19.22,18.6,0.12
2k,12.58,24.7,0.08
5.1k,6.208,30.8,0.04
,,,
510,17.42,8.7,0.023
1k,14.23,13.86,0.023
2k,10.1,19.92,0.022
5.1k,5.52,27.42,0.018
,,,
510,50.52,24.65,3.8
1k,30.23,28.95,2.3
2k,16.38,31.97,1.25
5.1k,6.97,34.55,0.51
,,,
510,51.5,25.15,1.88
1k,30.45,29.16,1.13
2k,16.48,32.13,0.59
5.1k,6.98,34.57,0.24
